*************,*************,*************,*************
1,174,95,red
2,540,65,green
3,200,346,blue
4,547,351,red
*************,*************,*************,*************
1,,,
2,520,69,green
3,160,347,blue
4,528,355,red
*************,*************,*************,*************
1,148,86,red
2,533,70,green
3,159,347,blue
4,523,345,red
*************,*************,*************,*************
1,148,86,red
2,528,72,green
3,160,350,blue
4,524,347,red
*************,*************,*************,*************
1,164,65,red
2,552,40,green
3,186,368,blue
4,549,350,red
*************,*************,*************,*************
1,,,
2,,,
3,,,
4,,,
